year,state,population,sex,table,age_label,age,qx,lx,dx,Lx,Tx,ex,open_interval,mx
2019,AK,Total,Both,1,13–14,13,4.731251683551818e-4,99233.8671875,46.95003890991211,,,65.29254150390625,FALSE,4.7323711855087495e-4
2019,AK,Total,Both,1,14–15,14,7.012893329374492e-4,99186.9140625,69.55872344970703,,,64.323211669921875,FALSE,7.015353225566432e-4
2019,AK,Total,Both,1,15–16,15,9.845845634117723e-4,99117.3515625,97.58941650390624,,,63.36800765991211,FALSE,9.850695055262867e-4
2019,AK,Total,Both,1,16–17,16,0.0012621405767276883,99019.765625,124.97686767578124,,,62.42996597290039,FALSE,0.0012629375791099228
2019,AK,Total,Both,1,17–18,17,0.0014417561469599605,98894.7890625,142.58216857910156,,,61.50822448730469,FALSE,0.0014427962271245942
2019,AK,Total,Both,1,18–19,18,0.0014665728667750957,98752.203125,144.82730102539065,,,60.5963134765625,FALSE,0.0014676490739299823
2019,AK,Total,Both,1,19–20,19,0.0013850998366251588,98607.375,136.5810546875,,,59.68457794189453,FALSE,0.0013860597521933166
2019,AK,Total,Both,1,20–21,20,0.001267073443159461,98470.796875,124.7697296142578,,,58.76666641235352,FALSE,0.001267876689600758
2019,AK,Total,Both,1,21–22,21,0.0011925623985007403,98346.0234375,117.28376770019533,,,57.84059524536133,FALSE,0.0011932739253079571
2019,AK,Total,Both,1,22–23,22,0.0011937863891944287,98228.7421875,117.2641372680664,,,56.9090576171875,FALSE,0.0011944993777439547
2019,AK,Total,Both,1,23–24,23,0.001296881353482604,98111.4765625,127.23894500732422,,,55.97647857666016,FALSE,0.0012977228497655286
